mean,lower,upper
0.004404484997002511,0.004343539185273813, 0.004465547021360342
0.00444,0.00418, 0.004712
7.582476355884435E-4,5.813874880004326E-4, 9.638619641063235E-4
0.002522199414372252,0.0021779173086502704, 0.0028691238137276537
0.009310015706679168,0.008688993941008057, 0.009955063178501512
27.37425385364961,27.06841298535833, 27.6710843971694
28.770364788813254,27.268279385636, 30.29545505363689
27.473713239053943,26.80756932199619, 28.147569185927846
27.254178144590192,26.91838937658823, 27.60578602198411
0.2913165266106443,0.26448362720403024, 0.31940818102698
0.44776119402985076,0.31645569620253167, 0.576271186440678
0.28431372549019607,0.225531914893617, 0.34579439252336447
0.28297208583965094,0.2529832935560859, 0.31536697247706424
