mean,lower,upper
0.004417168076720393,0.0043561920060423516, 0.004478449778490369
0.004436,0.004176, 0.004704
7.582476355884435E-4,5.813874880004326E-4, 9.638619641063235E-4
0.0025205117930739112,0.002175170658336226, 0.002860900260711072
0.009297750436021912,0.008683532261811263, 0.009962681594029054
27.617052936455472,27.317536612891853, 27.909000545761653
28.770364788813254,27.268279385636, 30.29545505363689
27.8165646499193,27.166637254407597, 28.494910450221376
27.492545698812613,27.151276053347367, 27.821552964929936
0.3078947368421053,0.2808888888888889, 0.33635539437896644
0.44776119402985076,0.31645569620253167, 0.576271186440678
0.3116883116883117,0.25, 0.37623762376237624
0.2976913730255164,0.2670807453416149, 0.3296296296296296
