mean,lower,upper
0.0043876175941120945,0.004357499202931994, 0.004420234612170839
0.004266,0.004136, 0.004393
6.000173062181393E-4,5.124306861141465E-4, 6.939460014763361E-4
0.002294038922684087,0.0021390652950404945, 0.002459510882175507
0.009168767068435679,0.008833883021843177, 0.009481112910676617
27.102581472129877,26.9499778574764, 27.25004767443978
27.878662515020356,27.167352690180994, 28.588017013740433
27.280115957801364,26.93946920472123, 27.6240640367767
27.01890205584615,26.845229953432682, 27.182735638922846
0.2858136394589408,0.2716439688715953, 0.29936604836816155
0.34375,0.2777777777777778, 0.4157303370786517
0.2930497095021517,0.26207729468599034, 0.32450331125827814
0.28071220536663655,0.2650711905483187, 0.29597871082199884
