mean,lower,upper
0.004379813690427426,0.0043496748093891004, 0.004412445470901905
0.004254,0.004124, 0.00438
5.593390990016168E-4,4.777199544641405E-4, 6.489843903963901E-4
0.002294038922684087,0.0021390652950404945, 0.002459510882175507
0.009168767068435679,0.008833883021843177, 0.009481112910676617
27.061942341970216,26.908618616017563, 27.208226150820277
26.85843476261566,26.132306439464863, 27.59616163659562
27.280115957801364,26.93946920472123, 27.6240640367767
27.01890205584615,26.845229953432682, 27.182735638922846
0.28377427111776377,0.2695998127779078, 0.2970159611380985
0.2967741935483871,0.22962962962962963, 0.3727810650887574
0.2930497095021517,0.26207729468599034, 0.32450331125827814
0.28071220536663655,0.2650711905483187, 0.29597871082199884
