mean,lower,upper
0.004404162513646166,0.004343222934407195, 0.004465162632536795
0.00444,0.00418, 0.004712
7.582476355884435E-4,5.813874880004326E-4, 9.638619641063235E-4
0.0025214846960030235,0.0021779173086502704, 0.002871832877854463
0.009310015706679168,0.008688993941008057, 0.009955063178501512
27.35669357971876,27.053176416013557, 27.66270615286287
28.770364788813254,27.268279385636, 30.29545505363689
27.397344260543612,26.724529816923045, 28.073569647383984
27.254178144590192,26.91838937658823, 27.60578602198411
0.29035166816952207,0.2634782608695652, 0.3182608695652174
0.44776119402985076,0.31645569620253167, 0.576271186440678
0.2791666666666667,0.22119815668202766, 0.33980582524271846
0.28297208583965094,0.2529832935560859, 0.31536697247706424
